bulan,tahun,curah_hujan,hari_hujan,suhu_udara,kelembapan
1,2020,203.0,22.0,26.55,86.0
2,2020,154.0,17.0,26.7,86.0
3,2020,178.0,17.0,26.5,87.0
4,2020,275.0,9.0,26.6,86.0
5,2020,596.0,21.0,35.4,88.0
6,2020,508.0,21.0,25.5,87.0
7,2020,502.0,21.0,25.5,88.0
8,2020,48.0,8.0,25.8,83.0
9,2020,126.0,11.0,26.4,81.0
10,2020,149.0,6.0,27.4,77.0
11,2020,255.0,14.0,27.6,80.0
12,2020,130.0,13.0,26.55,86.0
1,2019,222.0,22.0,26.5,82.0
2,2019,129.0,16.0,26.45,82.5
3,2019,142.0,14.0,26.4,83.0
4,2019,360.0,22.0,26.5,84.0
5,2019,408.0,17.0,26.1,86.0
6,2019,556.0,19.0,25.5,87.0
7,2019,97.0,16.0,24.8,85.0
8,2019,6.0,6.0,24.9,81.0
9,2019,5.0,2.0,26.45,82.5
10,2019,12.0,2.0,27.0,76.0
11,2019,63.0,3.0,28.0,76.0
12,2019,224.0,11.0,28.0,79.0
